order_id,customer_name,email,product,quantity,unit_price,order_date,status,city,country,total_revenue
ORD-00001,Fiona Parkes-Taylor,zfox@example.com,Phone,2,575.04,2025-10-31,pending,New Billyside,UK,1150.08
ORD-00002,Christopher Allen,adamwilkinson@example.net,Keyboard,4,544.86,2025-09-02,completed,Ryanburgh,UK,2179.44
ORD-00003,Martyn Webb,icarpenter@example.org,Speaker,3,232.48,2025-11-15,cancelled,Philipfurt,UK,697.4399999999999
ORD-00004,Clifford Howard,dorothyrobinson@example.com,Keyboard,5,221.15,2025-11-09,pending,East Lewis,UK,1105.75
ORD-00005,Andrew Lloyd,mbell@example.org,Mouse,2,352.14,2025-11-11,pending,South Ross,UK,704.28
ORD-00006,Roger Barnes,fletchernicholas@example.org,Speaker,1,201.29,2025-04-14,cancelled,Pamelahaven,UK,201.29
ORD-00007,Stephen Stephens,urogers@example.org,Webcam,2,742.11,2025-08-14,completed,Fullerfurt,UK,1484.22
ORD-00008,Adrian Murphy,lkirk@example.com,Speaker,5,77.45,2025-07-21,completed,Port Allanport,UK,387.25
ORD-00009,Mr Ricky Harris,charliekelly@example.net,Webcam,1,800.13,2025-06-29,completed,Jemmachester,UK,800.13
ORD-00010,Mrs Sian West,barkermarie@example.net,Phone,1,759.63,2026-03-10,completed,Gailbury,UK,759.63
ORD-00011,Mr Ben Thompson,ianquinn@example.org,Speaker,2,210.22,2025-11-10,completed,Lake Charlottechester,UK,420.44
ORD-00012,Megan Archer,nlyons@example.net,Phone,5,341.0,2025-07-19,pending,Beverleytown,UK,1705.0
ORD-00013,Miss Tracey Johnston,newmanmarian@example.org,Headphones,1,723.33,2026-01-14,completed,Ronaldmouth,UK,723.33
ORD-00014,Mr Darren Hall,naomi00@example.com,Laptop,4,442.22,2025-05-06,completed,East Thomasport,UK,1768.88
ORD-00015,Lucy Reeves,lewischelsea@example.org,Laptop,3,428.44,2025-06-06,completed,Lake Jennifertown,UK,1285.32
ORD-00016,Sara French,lyates@example.org,Tablet,1,412.06,2026-02-20,completed,Doyleberg,UK,412.06
ORD-00017,Kimberley Johnson,jeremy67@example.net,Phone,4,174.94,2025-12-30,completed,Davieshaven,UK,699.76
ORD-00018,Megan McCarthy,masonnatalie@example.org,Laptop,4,382.61,2025-05-17,completed,Robertsbury,UK,1530.44
ORD-00019,Dr Timothy Young,charltongeorgina@example.net,Headphones,5,819.06,2025-04-10,completed,Owenshire,UK,4095.2999999999997
ORD-00020,Dr Francesca Lane,jordanleigh@example.org,Mouse,3,375.04,2025-10-24,completed,Taylorburgh,UK,1125.1200000000001
ORD-00021,George Owen,woodmarcus@example.org,Headphones,1,155.79,2025-10-16,completed,New Joan,UK,155.79
ORD-00022,Oliver Rahman-Foster,william77@example.net,Tablet,2,453.22,2025-07-03,pending,Masonshire,UK,906.44
ORD-00023,Joshua Ryan,lday@example.org,Keyboard,2,347.83,2026-02-13,completed,New Jemmaton,UK,695.66
ORD-00024,Mr Trevor Thompson,allanbentley@example.com,Laptop,3,852.29,2025-06-13,pending,North Nathanburgh,UK,2556.87
ORD-00025,Mrs Teresa Pollard,kellysmith@example.net,Tablet,2,426.84,2026-02-03,completed,Jodieside,UK,853.68
ORD-00026,Lesley Barrett,joe75@example.org,Tablet,1,287.41,2026-03-13,completed,Janicefort,UK,287.41
ORD-00027,Ms Pauline Godfrey,mohammed73@example.com,Speaker,1,491.01,2025-06-30,pending,Brendaside,UK,491.01
ORD-00028,Mr Dominic Finch,charles59@example.net,Headphones,3,359.51,2025-10-22,completed,Jayshire,UK,1078.53
ORD-00029,Donald Ward-Miller,gemma61@example.org,Mouse,4,309.77,2026-03-04,completed,Port Paulland,UK,1239.08
ORD-00030,Jonathan McDonald,johnnatalie@example.net,Laptop,1,642.51,2025-10-14,refunded,Rickyview,UK,642.51
ORD-00031,Mr Philip Weston,jkhan@example.com,Laptop,5,558.41,2025-05-02,completed,Lake Kayleigh,UK,2792.0499999999997
ORD-00032,Mrs Holly Newton,katy31@example.net,Keyboard,4,375.03,2025-08-29,completed,Hollieville,UK,1500.12
ORD-00033,Mr Mitchell Burton,dawn68@example.net,Keyboard,4,886.37,2026-03-20,cancelled,Lake Conorberg,UK,3545.48
ORD-00034,Declan Kelly,harriet88@example.org,Laptop,5,863.07,2026-01-24,completed,Cooperhaven,UK,4315.35
ORD-00035,Carolyn Thompson,connor60@example.com,Webcam,1,916.96,2025-11-03,completed,Jennashire,UK,916.96
ORD-00036,Dr Stephen Harper,mohammadjones@example.com,Webcam,5,113.31,2025-08-10,completed,West Dalestad,UK,566.55
ORD-00037,Sian Singh,joan71@example.org,Headphones,1,606.46,2025-04-15,completed,Reynoldsmouth,UK,606.46
ORD-00038,Melissa Adams,qwells@example.com,Laptop,3,706.49,2025-10-29,completed,Elainefurt,UK,2119.4700000000003
ORD-00039,Dr Diane Roberts,awilliams@example.com,Keyboard,2,284.01,2025-06-05,completed,South Geoffreyshire,UK,568.02
ORD-00040,Elaine Brown-Smith,dwalsh@example.com,Tablet,2,182.11,2025-07-24,pending,Alifort,UK,364.22
ORD-00041,Conor Cameron-Blake,wayne80@example.com,Phone,3,962.49,2025-11-23,completed,Lynnburgh,UK,2887.4700000000003
ORD-00042,Dr Christine Wilson,gerald06@example.com,Tablet,3,832.87,2025-10-04,refunded,Steeleton,UK,2498.61
ORD-00043,Dr Laura Wilson,teresa19@example.org,Phone,1,975.6,2025-11-22,completed,Chambersborough,UK,975.6
ORD-00044,Leigh Browne,ywells@example.com,Speaker,2,622.62,2026-01-04,completed,Collinsview,UK,1245.24
ORD-00045,Kelly Doherty-Walters,jaysmith@example.com,Charger,5,197.76,2025-11-18,pending,Sylviatown,UK,988.8
ORD-00046,Diane Robson,katherineatkinson@example.net,Headphones,3,79.32,2026-01-21,completed,West Ben,UK,237.95999999999998
ORD-00047,Georgia Wilson,armstrongpeter@example.com,Monitor,3,235.74,2025-06-16,pending,Swiftshire,UK,707.22
ORD-00048,Stewart Porter,lewiskaty@example.org,Mouse,2,618.33,2025-08-09,completed,Stewartfurt,UK,1236.66
ORD-00049,Leon Lewis,pauline17@example.com,Charger,3,967.61,2025-12-02,pending,Lake Lucyborough,UK,2902.83
ORD-00050,Miss Cheryl Taylor,ronald17@example.org,Phone,4,162.02,2025-11-14,completed,New Kayleighfurt,UK,648.08
ORD-00051,Jonathan Ward,paulinebarker@example.org,Headphones,4,968.22,2026-01-21,pending,Smithshire,UK,3872.88
ORD-00052,Miss Donna Mann,warrenjennifer@example.org,Phone,3,934.18,2026-02-14,completed,Port Joan,UK,2802.54
ORD-00053,Mohammed Howell,pauline31@example.com,Phone,1,315.85,2025-11-20,cancelled,North Suzanne,UK,315.85
